Unnamed: 0,sentence,labels
90,And you just wanting to make a credit card payment you place?,irrelevant
91,"I'm looking on one and I'm looking at I'm getting insurance amount to dogs. Um, I'm just clearing me, so I'm looking at the top top cover the Trishul ligament. Um, one words.",purpose of the call
92,"Okay. So then it will be a... It it will be a problem for you when you're gonna sell the property. Okay? So in that case, we will be doing the further work for you. Depending on that. We will be telling you. This is the amount we will be charging you for to for us to do this work. If you are not happy with that, you can tell you don't have to do it. We'll not do that for you. So in that, only the quote will change. We are not gonna surprise you for sure with any any hidden fees. There are no hidden fees. Okay?",irrelevant
93,"Otherwise, you should be aware that you're 32 David, Eric, and also placed a renewal.",irrelevant
94,"It's is age and when it takes out the policy, we've included for natural disaster and kept the standard access Now the base premium is three hundred and fifteen dollars and fifteen cents. And when we take into the account the medical premium, that's jumped up. So then the policy cost four hundred and eighty eight dollars and forty eight cents.",was policy cover cost given?
95,"Well, I guess gold. Excellent. Alright.",irrelevant
96,"I think you will. I'm not compared it. So yeah, that's the thing. I can't. I've still got it on my board on dhe. Luckily, I got rid of it. Let me.",irrelevant
97,For +548-486-015-0157 +917-918-316-8316 and the name on the card and the new expiry 10:50 to 10:20.,irrelevant
98,"I can't send what the accident was. No accident, plus four like covers you for accident, which could be motive. Eagle instant burn or electrocution, Allergic reaction, bone fractures, snake bite, dramatic ligament injury bite wound or fight wound abscess and lacerations or abrasions of tissue had also covers with a 30 day waiting period. A couple of extended items, which would be suggestion of a foreign object. Tick paralysis The intelligent involved again. Foreign object Yeah, tick paralysis Yes. Hates drug. Gastric dilation home from trauma injuries. Respiratory in payment. Traumatic spinal disruptor toe nails are poisoning in better grass seed officiate tissue injuries.",did the rep read out all accidental serious injuries cover?
99,Could you please confirm your full name and date of birth,did rep ask for the spelling of customer name?
100,"Good morning. Battle wound me out. Pet insurance. Risk speaking. High rise Mary, It's Miami staking.",call opening greeting
101,The number again... 8124 full. Thanks. By.,call closing greeting
102,I arranged it with friends.,irrelevant
103,"And then also with the accident. Plus, there is a 30 day waiting period for the swallowing of a former object. Tick paralysis, heatstroke, gastric diet relation, trauma induced respiratory in payment.",irrelevant
104,Hi. This is a message for Ross. My name the. I'm calling from Moo nancy.,irrelevant
105,Can I put you on hold for a bit as a look into this?,call hold
106,It's Emilio cable long as it goes down on Saturday Gables.,irrelevant
107,I don't know.,irrelevant
108,So the refund is. So you can log online and request that. Or you can use the three hundred and thirty six dollars and fifty six cents as as a credit tools on your next policy fee.,irrelevant
109,So soon gonna be i. Yeah. Alright. Alright. That's that's good.,irrelevant
110,You've got a PO Box 769 Wellington.,irrelevant
111,Susan. Whether to accept the risk of insurance on what terms possibility ing this application You declared that the information provided to incorrect and you have not withhold any requested information.,irrelevant
112,We find a way of stopping the premium package or you can select which we don't expect to receive the order received the payment.,irrelevant
113,"And, of course, we will send you a notification in regards to the bridge IQ off the reviews for the waiver for who worship ligament And how do we get that form? Is it?",irrelevant
114,You have a good day. Bye for now.,call closing greeting
115,Treated them now and get them to call us soon as possible.,irrelevant
116,"Um And also the other question Woz, that's fortnightly on. Obviously it goes.",irrelevant
117,"That's not us that you effectively you could potentially do if they have the same facility. You could do it with them. I don't know if they have an alive if my system, you know, I did you want your car so it allows you to Thursday. It's a hundred seventeen thousand three hundred one one seven three hundred.",irrelevant
118,Did you say 110?,irrelevant
119,"So we we can pay... We can put the policy to the twentieth of august if that's that you... That that would be great. Yes. Fine. But but not normally, we we do the dates for when you're scheduled to return to Australia.",irrelevant
120,"Can you please provide your birth date and your current address, including street and city?",did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
121,"So I just told the customer that we're going to have it down a corgi cross on, then if she decided she wanted to go ahead with the policy being that attire.",irrelevant
122,I confirm a few details and ask to cost a fixed issue free reference.,irrelevant
123,"To verify your information, could you confirm the spelling of your name and provide your address?",did rep ask for the spelling of customer name?/did rep ask the exact customer address?
124,Okay. It's MSIGMS slash i g slash 304120 slash 256 Mh. 84691 Alright.,irrelevant
125,Please hold. Can you verify your birthdate for me?,call hold/did the rep ask for date of birth?
126,"Please leave me a message after the tone, and I'll get back to you.",irrelevant
127,I'll need to put you on hold. Can you confirm your birthdate while you wait?,call hold/did the rep ask for date of birth?
128,Any specific claim coverage information is subject to review in accordance with your product policy and information provided to us. We ask you to be respectful to the agent abusive behavior will not be permitted.,irrelevant
129,Yes. Thirty first of August nineteen ninety four. Alright. Thank you. How about your email?,irrelevant
130,Yes.,irrelevant
131,Yep. Anything else I can help with today?,irrelevant
132,The reason for my call is to confirm verify a few details when you purchase transaction to send across an accurate quotation from my end for reference.,purpose of the call
133,"Well, you have a great day. Thank you. No.",call closing greeting
134,So that's not resulting any additional medical charge but we can cover that. So the the total charge for the gold policy is staying at the same at five hundred and fifty four dollars and sixty seven cents.,was policy cover cost given?
135,"The current records air, enough of which will be from the bit.",irrelevant
136,"Oh, this is like technically because I it's it's not like normal Outlook.",irrelevant
137,"Good afternoon. Thanks for calling dogs. That insurance, you mean, how may I help you today?",call opening greeting
138,"Please note that the advice is general, and the rep needs the correct spelling of your name.",general advice warning/did rep ask for the spelling of customer name?
139,"I'm calling from Morgan requested for quotation yesterday today for a sale and a purchase of properly. I believe it's spoke last week, and you confirm me on your cell transaction, but you were still looking for purchase property. I can see that you have found company for yourself. Just wanna confirm a few more details on your transaction just to make sure that you will receive an accurate quotation from my end Graham. I",purpose of the call
140,"Do I send it back or yes, you need to scan it.",irrelevant
141,Yep. I can do that for you right now. Do you have the policy number just the last eight digits?,purpose of the call
142,I'm calling to confirm a few details with your have to send the across of fixed and quotation from line for your reference. So you can compare it that funds to make a decision yourself. Just wanted to confirm this details.,purpose of the call
143,Yes. Um what particular brand are you checking online if I'm asked?,irrelevant
144,Can we can you have a look at it?,irrelevant
145,"Thank you. And we got a friend on, uh, probably shooting. Okay. Yet a man spared me hovering up the other dad, and I'll feel the detail.",irrelevant
146,"I've got a policy number here. Okay, 301-6074. Okay, great. Thank you.",did the rep share the policy number with the client?
147,"Do you have the microchip number of hand? No, I don't know about this. Yes, and then before zeros. Okay. And, uh, I just need to record the help declaration for Winston.",irrelevant
148,I really appreciate if you could give me a callback down. My number is 02081244093,irrelevant
149,"Yeah, That sounds much better.",irrelevant
150,Just wanna confirm with you if you decide on... Yes. I have. Yes. I have.,purpose of the call
151,"Since all advice is general, the rep requested the correct spelling of your name.",general advice warning/did rep ask for the spelling of customer name?
152,It goes on gold as well. Including natural disaster capital. One hundred. Two hundred yeah. So yeah. It's it's roughly a hundred hundred dollars extra. So cool. Yeah. Yeah.,irrelevant
153,Okay. What exactly what other what documents exactly do you need?,irrelevant
154,"Um, yes, that's far. Now, where did you hear about us initially? Miami. Um, through a friend. Through what? Call leg. Now I have to read the terms and conditions. Two year",irrelevant
155,And when you send it to us you're going to have to ask us to send a copy to the back cuz I'm a general rule.,irrelevant
156,"Yep. Perfect. Absolutely. Well, I'm going to watch this claim through for you. You will receive an email within twenty four hours With all the documents you need to provide to us, just reply back to that email with the documents and we can continue your claim on there.",irrelevant
157,"So sorry, can you say that again?",irrelevant
158,Yes. That's my husband too.,irrelevant
159,"I can check with time is available I have the property post code, please.",irrelevant
160,Have a read of it all. And you can pay by the directive. It all credit card.,irrelevant
161,Ibero is just Cynthia. Note that any coverage information given to you by our agent is general advise only.,irrelevant
162,"I thought I 93 to 4404 for for your four, noting that I just was second.",irrelevant
163,Thank you. Thank you. You're welcome. Have a good day. You just,call closing greeting
164,Can you confirm your date of birth as well speaking of over?,irrelevant
165,They will be specified in your certificate of insurance. What I've quoted one is the peace of mind that has a sub limit of $300 for consultations.,irrelevant
166,Hello?,irrelevant
167,During this call our conversation will be recorded Let's begin by confirming the spelling of your name,call recording disclaimer/did rep ask for the spelling of customer name?
168,That will be completely fine.,irrelevant
169,Okay. All right. Thanks.,irrelevant
170,. I'll just punch that in just make sure I get the spelling correctly.,irrelevant
171,"""Or to messaging service, the person you are calling is unable to take your call.",irrelevant
172,Yeah. It must be a bad little bit longer.,irrelevant
173,Bye now. You're welcome. Have a good day.,call closing greeting
174,Please tell me your full name and birth year.,did rep ask for the spelling of customer name?/did the rep ask for date of birth?/general advice warning
175,"Okay. Uh, sorry, ma'am. You're quitting for reach Brand. Um, which ones do you cover? Yes. Um, what particular brand are you talking online? If I'm asked, um, you cover more than one brand. I'm not seeing anything here on my system. Sorry, I'm I'm calling to bow out me out like war game.",irrelevant
176,I think so. Yep knocking that's fine.,irrelevant
177,Are you requested for a quotation susan yesterday for a sale and a purchase off a property?,irrelevant
178,"What does it any information to our local office? Of course, they could email us along to us.",irrelevant
179,Your policy details need updating. Can you provide your current address and contact number?,did rep ask the exact customer address?/secondary contact numbers
180,"Hopefully, let's just fingers this crossed on this. Right? Mh. Does just say it will be a good property for you. Thank you. Thank you very much. Yeah. You're most welcome, Francisco.",irrelevant
181,Could you confirm your date of birth as well?,did the rep ask for date of birth?
182,I'll do. I'll email the quote through to you.,irrelevant
183,My date birth and surname?,did the rep ask for date of birth?/did rep ask for the spelling of customer name?
184,"Just to ensure accuracy, could you spell your full name and provide your address?",did rep ask for the spelling of customer name?/did rep ask the exact customer address?
185,I'm sorry. Can I get the PIN number?,irrelevant
186,So my husband's cover was the parkinson's. U. The the things that you took into consideration to come to the blood pressure. U.,irrelevant
187,"And so before we, uh, do proceed, I would just like Thio advice.",irrelevant
188,Okay. So you canceled the authority at the bank is it?,irrelevant
189,And what's the name of the client?,did rep ask for the spelling of customer name?
190,Give spectrum then take care. Bye.,call closing greeting
191,"Okay. I also just to put it on hold and they they're going to cancel this now, Yes, which means we we can't use it at all.",irrelevant
192,We've got a Foxton address.,irrelevant
193,In the event of the natural disaster that causes the cancellation disruption be tripped Oh I see.,irrelevant
194,So we are an insurance company. Are you wanting to cancel the insurance? Is that what you're saying?,purpose of the call
195,"Last week, just wanted to confirm a few details on your transaction and your purchase funds action.",irrelevant
196,I just want to send a class an accurate quotation from my end just want to confirm a few details beforehand. Are you happy with the general code? Did you want an accurate quotation?,purpose of the call
197,I'm sorry about that. You're very welcome.,irrelevant
198,"Your name spelling, please, after hearing the general advice warning.",general advice warning/did rep ask for the spelling of customer name?
199,"Can I add my wife's name as well? You can definitely do that. You can... It's completely up to you. So shall I just put it as two people, you and your partner. Yes. Perfect. So two Id verification. Are you both or one of you first time bios what's was the status on the property. Do you own another property? Yeah. I mean, the one what we we already have is the one first property So this is right home property once whatsoever. Well this property twenty six two dollars is going to be a second home for you.",irrelevant
200,How much can I climb? 145 dark inside $25 a week because I had a 5 30 because it cost you 100. 100 and 78 110.,irrelevant
201,Let me just punch all those details in.,irrelevant
202,It's okay. I think I've found someone to you anyway. Thank sure.,irrelevant
203,Thank you for holding Can you provide the year you were born?,call hold/did the rep ask for date of birth?
204,Yes. Yes. Cash fire Yeah. For wonderful.,irrelevant
205,It should be in your inbox very shortly. Alright. Thanks very much for. That welcome. Alright. So you have a good day.,irrelevant
206,"Okay. So I'm just gonna confirm these details. And then we'll be able to take purchase, and then I will be able to cancel and refund you for your private policy.",was policy cover confirmation asked and confirmed?
207,"I can see her promotion with 113 red for audit. And Falconer, if you want. I can also let me just try if I can add Also the recovered a chicken?",irrelevant
208,"To proceed, could you confirm the spelling of your name and provide your full address?",did rep ask for the spelling of customer name?/did rep ask the exact customer address?
209,May I have the spelling of your name and your address to verify your details?,did rep ask for the spelling of customer name?/did rep ask the exact customer address?
210,"And anxiety, I think you said too. Right.",irrelevant
211,Okay. It's not... We can cover all conditions to no additional medical charge. That's good. So I'm just gonna hit that.,irrelevant
212,I'm just having a quick look. Things up and working a lot of monitors and stars on are as far as I know. It's actually not showing me specific wage for that.,irrelevant
213,"Unfortunately, a out of of this today.",irrelevant
214,. Now do you have an email address diane that you'd like to three to?,irrelevant
215,All yak. And you Very fighting me.,irrelevant
216,"Okay, what should be updated to? It should be Keith.",irrelevant
217,First month? Good Christian. What is my number? I can look it up. If you don't have it. Would you do that?,irrelevant
218,"Sorry, what was the number again?",irrelevant
219,"Yeah. Wow. I can't believe. Okay, great. Thank you. It's gotta be.",irrelevant
220,Yeah. Now that comes with a standard one hundred dollar excess. Would you like that to be double or waived?,was policy cover cost given?
221,"Oh, hi there. I'd love to claim a couple of weeks ago, and I'm just cleaning up the phone just to find out about the status on it because I haven't heard anything.",purpose of the call
222,"Okay, I'll just process it through for $74 21.",irrelevant
223,Sorry. One moment. One moment. Are you sending me all this information online?,irrelevant
224,Thank you very much for that.,irrelevant
225,Please hold while I confirm your address.,call hold/did rep ask the exact customer address?
226,Let me place you on hold momentarily to recheck your phone number.,call hold/secondary contact numbers
227,"I correct go and. So the total premium now, including all preexisting existing medical conditions is coming to two hundred and forty four dollars and eleven cents. Two hundred and forty four. Right? Correct.",irrelevant
229,"We can under the table benefits for our silver level policy, we can ensure you up to fifteen thousand dollars for canceling your trip for departure for reasons.",irrelevant
230,"Hi, that was that. Okay. Uh because I'm seeing a much higher amount on my end here.",irrelevant
231,"Please wait one moment and we'll be right with you for all your travel insurance needs. For new claims, press one. For existing claims, press two.",irrelevant
232,"I would really appreciate if you could give me a callback bill for us to confirm the details and your can the quotation, we can get things solved for you. My direct direct number is 02081244093 The number again is 02081244093 And i'm.",irrelevant
233,Thank you.,irrelevant
234,"Now if you do need to change closer to your travel dates or need to travel your change your return date even after you leave us australia. Just make sure that you give us a call just calls before you depart or if you if it's after you've traveled to Cyprus, course the seventh of september and we can look at an extension on that as well Okay.",irrelevant
235,Welcome to Bt voice mail. The person you're calling is not available at the moment. Please leave a message after the tone.,irrelevant
236,Okay. And what's your date of birth k?,did the rep ask for date of birth?
237,"Hello. Good afternoon. good afternoon, Susan. This is We calling from Moo.",call opening greeting
238,Thanks for holding me John.,call hold
239,I okay. And would you like me to align the payment collection to your existing policy?,irrelevant
240,Please sentence nine eleven three six months.,irrelevant
241,"I torment and I v d. D with a love that I discovered in the in the accident. Plus, but when if you had the peace of mind, he could have a 60 70 or 80% benefit. So if you had a 60% benefit, it would be $494. 40? Yeah, Had 70% benefit. $608. 65 like I butt. And then what? Sorry. I'm trying to understand what is the 60% to 70% before I Still that Still the pace of mind? The middle mine up to 15,000. But if you have high the benefit, you have the hard the premiums going to bay. I understand that. But when you told me in the accident plus what's a vintage that he discovered for, you know, the 80 to 80%?",irrelevant
242,K.,irrelevant
243,"Before we move forward, could you confirm your name spelling after the general advice warning?",general advice warning/did rep ask for the spelling of customer name?
244,But I just told you input the same exact same detail three times and give me three different amounts.,irrelevant
245,How are you? How are you?,irrelevant
246,SM67 drive drive. Lat and parking space sixty seven.,irrelevant
247,Can you confirm your full name?,did rep ask for the spelling of customer name?
248,Yes. Enter the sixteen digit your card number on your mastercard into the dial pound phone right now.,irrelevant
249,"For one line, I like six 874 Just confirm it was fearful. 198 68. Simple. That's right. Okay, let's see Katherine Babo get Hey, just a moment.",irrelevant
250,"Yeah, no problem. What was the name of your dog?Her name is Nikki, and I are the imaginary I k. I. Yes, No worries. What type of donkeys, Mickey?",irrelevant
251,Please leave your message after the tone.,irrelevant
252,"For security reasons, this call is recorded. Please confirm your home address and phone number before we proceed.",call recording disclaimer/did rep ask the exact customer address?/secondary contact numbers
253,"Yeah, yeah. So you have to have the peace of mind, which is the one that unquote in Jawan because of your accident.",irrelevant
254,"That be... Maybe the seller will I will pull out of the transaction if you don't find his quickly. You know, these are the problems you might come across. Right? Like across, no paying that file open interest.",irrelevant
255,Mh okay. And it's 0425 Mh. 848 Mh. 574 You? I wouldn't give you another phone for you uruguay.,irrelevant
256,And one more question what frequency of payment did I choose for this policy?,irrelevant
257,I would really appreciate if you could give me a callback. My number is 02081244093 The number again is 02081244093 And i'm Zachary K.,irrelevant
258,Could you please confirm your address your contact number for verification,did rep ask the exact customer address?/secondary contact numbers
259,"Okay. By the way, I'm in here. I'm just on the line, please. No problem. Thank you. Clicking. Hold on. Hold on.",irrelevant
260,"Okay. For security check, can you please advise me your full name, date of birth, email address?",did the rep ask for date of birth?/did rep ask for the spelling of customer name?
261,"Dara zit, I all right? On what breed? To settle Labradors that rise.",irrelevant
262,Let’s confirm your name and date of birth before we proceed.,did rep ask for the spelling of customer name?/did the rep ask for date of birth?
263,And you can pay by the directive.,irrelevant
264,It's apartment 3. Yep. Yep variable straight. Cambridge 34034 so 3 so I'm just trying to find it in postcode finder.,irrelevant
265,"As in, like... Because obviously, this is a private lender. So the private lender is very fast.",irrelevant
266,Did you... So I'll send is at a hundred dollars. Did you wanna waive that down to zero? Or did you wanna double that? Two hundred?,irrelevant
267,Yep. Now that's very good. Thanks very much for your help. I'll get one of the Undertaker today or the doctor.,irrelevant
268,"Yeah. So if I were to have the cover full laptop mobile, they're the most probably valuable item they'll be carrying now would that mean my total coverage is only three thousand for both items or three thousand each.",irrelevant
269,950K73893 Okay. And what's veronica date of birth?,irrelevant
270,I've asked for accommodation in France if if I don't go.,irrelevant
271,Can I have your last name instead of an e m e r s o n. And your first name Joanne Joanne.,did rep ask for the spelling of customer name?
272,"This take a bit of time, but I can just copy my most for already on your existing policy and I'll start by just copying all this information over.",irrelevant
273,". So again, the total charge is three hundred and eighty nine dollars and sixty two cents. Now Yeah. The way we take payment over the phone is you I will secure the telephone line and you get out the dial pad on your phone.",irrelevant
274,Hi. My name is Tanya. I'm just calling about 178 bank would lane. And said if I could speak to Joshua.,irrelevant
275,"By submitting this application, you declared that the information you have provided is true and correct and you've not withheld any requested information. You also acknowledge that if you fail to comply with your duty of disclosure that the insurer maybe in total, to reduce, refuse to pay Taklimakan till the policy, your premium will be debated.",duty of disclosure
276,"If your pet had travel with some this condition and it had not occurred previously or within the waiting period, it would be covered that it was elected.",irrelevant
277,I do have to run through the medical again. Just to confirm everything is correct.,irrelevant
278,Yes. Perfect. I'm fine. So the property is twenty three harrison closed. So sellers have agreed on four hundred thirty two thousand pounds Francisco? That's I agree. Yeah. Wonderful. Wonderful. Free hold property.,irrelevant
279,I'm having difficulty earlier. Help us spell. LACH -- Okay. l a -- mail ACH Okay. Liquid. Alright.,irrelevant
280,And Okay. And we would we would have to add a medical premium for those conditions. Mh. Okay.,irrelevant
281,uld you confirm your address as well?,did rep ask the exact customer address?
282,"Okay, So I did my people get that waiver? Is that what most people do to get the waiver? Why? Yeah. So, upon signing up, we are going to provide the policy documents along with a crucial ligament waiver. Okay? And that's compulsory to be done. That why?",irrelevant
283,"okay, I'm just going to find that one now for you will be that was the Let me go I'll just take a look. Okay, so the next sentence would be Jacqueline.",irrelevant
284,All right. Thanks for that for Ya by Welcome to AA Alexa speaking with Fiat.,irrelevant
285,"So I just to finish this again. You're taking up the gold level of policy traveling to Asia, Thailand on the twenty fourth of July of the tenth of June, correct Christian tenth August. You've chose to wait the access and to include natural disaster cover and you're covering yourself, edwin and Adam. Is that correct new? Okay.",was cover description given to customer?
286,May I have the spelling of your name after providing general advice?,general advice warning/did rep ask for the spelling of customer name?
287,Can I get your name and address again? I want to make sure I’ve got it right.,did rep ask for the spelling of customer name?/did rep ask the exact customer address?
288,"And why the difference? Huge. Okay, Is this for an additional bet?",irrelevant
